Iter,SER,Total,Success
1,0.0,10,10
2,0.0,10,10
3,0.0,11,11
4,0.0,10,10
5,0.0,11,11
6,0.0,10,10
7,0.0,11,11
8,0.0,11,11
9,0.0,11,11
10,0.0,10,10
11,0.0,11,11
12,0.0,11,11
13,0.0,10,10
14,0.0,11,11
15,0.0,11,11
16,0.0,11,11
17,0.0,11,11
18,0.0,12,12
19,0.0,10,10
20,0.0,12,12
21,0.0,10,10
22,0.0,11,11
23,0.0,11,11
24,0.0,11,11
25,0.0,11,11
26,0.0,10,10
27,0.0,10,10
28,0.0,10,10
29,0.0,11,11
30,0.0,12,12
31,0.0,10,10
32,0.0,11,11
33,0.0,10,10
34,0.0,10,10
35,0.0,11,11
36,0.0,11,11
37,0.0,11,11
38,0.0,11,11
39,0.0,11,11
40,0.0,10,10
41,0.0,10,10
42,0.0,12,12
43,0.0,11,11
44,0.0,10,10
45,0.0,11,11
46,0.0,10,10
47,0.0,10,10
48,0.0,10,10
49,0.0,11,11
50,0.0,11,11
51,0.0,11,11
52,0.0,10,10
53,0.0,11,11
54,0.0,12,12
55,0.0,11,11
56,0.0,11,11
57,0.0,11,11
58,0.0,11,11
59,0.0,10,10
60,0.0,10,10
61,0.0,11,11
62,0.0,12,12
63,0.0,11,11
64,0.0,11,11
65,0.0,11,11
66,0.0,12,12
67,0.0,10,10
68,0.0,11,11
69,0.0,10,10
70,0.0,11,11
71,0.0,10,10
72,0.0,10,10
73,0.0,12,12
74,0.0,13,13
75,0.0,11,11
76,0.0,11,11
77,0.0,10,10
78,0.0,10,10
79,0.0,11,11
80,0.0,11,11
81,0.0,12,12
82,0.0,11,11
83,0.0,10,10
84,0.0,11,11
85,0.0,11,11
86,0.0,10,10
87,0.0,11,11
88,0.0,11,11
89,0.0,11,11
90,0.0,11,11
91,0.0,10,10
92,0.0,10,10
93,0.0,10,10
94,0.0,12,12
95,0.0,10,10
96,0.0,11,11
97,0.0,11,11
98,0.0,11,11
99,0.0,10,10
100,0.0,11,11
# mean_SER,0.0
# std_SER,0.0
# mean_total,10.76
# mean_success,10.76
