Device,StartTime,Duration,Success
2.0,0.02089474295781877,0.014336,1.0
3.0,0.037309492395308896,0.046079999999999996,1.0
88.0,0.08371808704748501,0.014336,1.0
50.0,0.09830879239675952,0.013312,1.0
54.0,0.1121679203001375,0.051199999999999996,1.0
75.0,0.16412230415208312,0.050176,1.0
1.0,0.21444541394506042,0.053248,1.0
77.0,0.2677527148460254,0.024576,1.0
87.0,0.29233609618593903,0.036864,1.0
65.0,0.3299279205524033,0.051199999999999996,1.0
35.0,0.38125323212223244,0.030719999999999997,1.0
16.0,0.41199282753548144,0.026624,1.0
18.0,0.4389622138439482,0.062464,1.0
82.0,0.5014272261356142,0.047104,1.0
25.0,0.5485416626744636,0.013312,1.0
71.0,0.5618963119375929,0.065536,1.0
4.0,0.6275368512194024,0.017408,1.0
8.0,0.6450949398216168,0.048128,1.0
49.0,0.6932822357717886,0.015359999999999999,1.0
74.0,0.7086956647996959,0.030719999999999997,1.0
31.0,0.7395348433789836,0.053248,1.0
5.0,0.792786325895852,0.033791999999999996,1.0
47.0,0.8265882220718892,0.008192,1.0
14.0,0.8348530403881577,0.013312,1.0
24.0,0.8482701015481419,0.059392,1.0
86.0,0.9076662287222791,0.037888,1.0
23.0,0.9455640123805804,0.017408,1.0
100.0,0.9631110652701995,0.015359999999999999,1.0
91.0,0.9784720249730169,0.032768,1.0
59.0,1.0113505948771264,0.017408,1.0
10.0,1.0288305069414276,0.013312,1.0
85.0,1.0423451917730624,0.047104,1.0
69.0,1.0897129891493853,0.024576,1.0
67.0,1.1142934006152507,0.032768,1.0
64.0,1.1470681308419495,0.020479999999999998,1.0
92.0,1.16755556822175,0.03584,1.0
78.0,1.2035870894849272,0.038911999999999995,1.0
40.0,1.2427647181849393,0.050176,1.0
83.0,1.2929777098764106,0.045056,1.0
48.0,1.3382394175789376,0.013312,1.0
21.0,1.351688567719732,0.061439999999999995,1.0
93.0,1.4132695417819607,0.045056,1.0
46.0,1.4583690204528346,0.033791999999999996,1.0
53.0,1.4921883400477463,0.021504,1.0
66.0,1.513811307488713,0.043008,1.0
17.0,1.5568674630084072,0.039936,1.0
11.0,1.596882156553969,0.027648,1.0
95.0,1.6247096409669695,0.059392,1.0
20.0,1.6841823624795076,0.028672,1.0
29.0,1.7129055189107005,0.065536,1.0
76.0,1.7786261478603007,0.062464,1.0
7.0,1.8411797621965045,0.030719999999999997,1.0
41.0,1.8719576955350712,0.027648,1.0
13.0,1.8996983731479427,0.025599999999999998,1.0
89.0,1.9254223555438519,0.051199999999999996,1.0
94.0,1.976945774024927,0.038911999999999995,1.0
33.0,2.0158638204000865,0.020479999999999998,1.0
6.0,2.0363624541501886,0.054272,1.0
81.0,2.090707696841686,0.046079999999999996,1.0
63.0,2.13704082561387,0.061439999999999995,1.0
51.0,2.1989370038199145,0.049152,1.0
26.0,2.2481061314405633,0.032768,1.0
9.0,2.2810388460038515,0.059392,1.0
37.0,2.3407304939987186,0.056319999999999995,1.0
97.0,2.3971005662482625,0.055296,1.0
57.0,2.4527881958917783,0.044031999999999995,1.0
10.0,2.4968890973094724,0.057344,1.0
27.0,2.554288559203097,0.013312,1.0
34.0,2.567621016021557,0.058367999999999996,1.0
39.0,2.6260572751164077,0.040959999999999996,1.0
2.0,2.667282575168013,0.038911999999999995,1.0
48.0,2.7063146069799013,0.025599999999999998,1.0
22.0,2.732163026666725,0.040959999999999996,1.0
68.0,2.7731527700764524,0.023552,1.0
60.0,2.7969669400388417,0.045056,1.0
80.0,2.842220970024744,0.059392,1.0
44.0,2.9018506532361186,0.065536,1.0
14.0,2.9676372280754517,0.014336,1.0
72.0,2.982018303052755,0.051199999999999996,1.0
50.0,3.0334316151862883,0.056319999999999995,1.0
36.0,3.0900468916088735,0.022528,1.0
70.0,3.1125980688447075,0.046079999999999996,1.0
25.0,3.158812685238343,0.025599999999999998,1.0
98.0,3.1844679281967445,0.052224,1.0
84.0,3.236714109989253,0.012288,1.0
88.0,3.249061985858294,0.033791999999999996,1.0
38.0,3.283069785056808,0.032768,1.0
55.0,3.3159472358839843,0.060416,1.0
23.0,3.376392098957502,0.016384,1.0
96.0,3.3929015828926623,0.047104,1.0
49.0,3.440106257031301,0.039936,1.0
19.0,3.480066724088945,0.048128,1.0
62.0,3.52844332736051,0.063488,1.0
77.0,3.59200539562312,0.039936,1.0
79.0,3.632104511000527,0.049152,1.0
52.0,3.6813765996451924,0.018432,1.0
4.0,3.7000275034777905,0.027648,1.0
61.0,3.727743662343042,0.009216,1.0
58.0,3.7378610937516243,0.013312,1.0
53.0,3.751219054509115,0.051199999999999996,1.0
64.0,3.8024302690691694,0.050176,1.0
30.0,3.852679972822947,0.015359999999999999,1.0
45.0,3.8682792053410298,0.030719999999999997,1.0
28.0,3.8990075942826903,0.021504,1.0
42.0,3.921655163667801,0.036864,1.0
56.0,3.9586904989183562,0.041984,1.0
90.0,4.000717830479706,0.016384,1.0
47.0,4.017863706362449,0.054272,1.0
73.0,4.072555648706289,0.053248,1.0
69.0,4.1263281663649645,0.033791999999999996,1.0
12.0,4.161436672467941,0.032768,1.0
100.0,4.195279638901088,0.033791999999999996,1.0
99.0,4.229828151772022,0.057344,1.0
43.0,4.288004080855024,0.013312,1.0
32.0,4.303398900346702,0.032768,1.0
16.0,4.336470481800082,0.008192,1.0
87.0,4.346231475104966,0.040959999999999996,1.0
15.0,4.387522568374521,0.058367999999999996,1.0
59.0,4.446876365433358,0.043008,1.0
35.0,4.4900485192155,0.044031999999999995,1.0
14.0,4.536107944657438,0.058367999999999996,1.0
84.0,4.602036366304382,0.015359999999999999,1.0
67.0,4.673903655719003,0.023552,1.0
91.0,4.698992982846041,0.049152,1.0
61.0,4.748524430268857,0.051199999999999996,1.0
74.0,4.799797441349843,0.036864,1.0
3.0,4.838274668186685,0.010239999999999999,1.0
5.0,4.850461454391085,0.046079999999999996,1.0
86.0,4.89781960516229,0.041984,1.0
13.0,5.034336523789082,0.047104,1.0
33.0,5.084360160747026,0.062464,1.0
20.0,5.151995469413352,0.064512,1.0
27.0,5.218484285485233,0.043008,1.0
11.0,5.263404279531776,0.027648,1.0
23.0,5.29200877622981,0.057344,1.0
92.0,5.350056409259813,0.010239999999999999,1.0
46.0,5.360525126815403,0.028672,1.0
82.0,5.392812692435994,0.049152,1.0
54.0,5.442873354652507,0.024576,1.0
16.0,5.504202198814242,0.033791999999999996,1.0
7.0,5.5688048209058785,0.017408,1.0
26.0,5.58731192562631,0.009216,1.0
36.0,5.598084728446836,0.044031999999999995,1.0
8.0,5.6421177373024936,0.057344,1.0
90.0,5.699775601038736,0.040959999999999996,1.0
48.0,5.755178334014189,0.059392,1.0
58.0,5.8205688172426395,0.061439999999999995,1.0
43.0,5.886304646701958,0.024576,1.0
3.0,5.911503972001722,0.031744,1.0
94.0,5.948341553237805,0.034816,1.0
17.0,5.984881690165582,0.044031999999999995,1.0
83.0,6.030426255017471,0.029696,1.0
30.0,6.060179073209247,0.046079999999999996,1.0
25.0,6.106420538204013,0.012288,1.0
65.0,6.122974135892986,0.029696,1.0
68.0,6.17103187411252,0.041984,1.0
66.0,6.21351819697413,0.013312,1.0
1.0,6.228169107894678,0.047104,1.0
31.0,6.275845178782986,0.036864,1.0
41.0,6.312968474079845,0.020479999999999998,1.0
78.0,6.3349029347817325,0.057344,1.0
75.0,6.395252804058201,0.038911999999999995,1.0
84.0,6.437614921113728,0.036864,1.0
92.0,6.476718197725641,0.033791999999999996,1.0
4.0,6.512137958839,0.065536,1.0
40.0,6.579412006543753,0.025599999999999998,1.0
26.0,6.608213792064844,0.016384,1.0
52.0,6.634733033867967,0.018432,1.0
