SNR_dB,devices=2,devices=4,devices=8,devices=16
-20.0,0.9119,0.9096,0.9136,0.9158
-19.5,0.9034,0.9006,0.8923,0.9053
-19.0,0.8845,0.8877,0.8853,0.8822
-18.5,0.8691,0.8616,0.8591,0.8634
-18.0,0.8436,0.8395,0.8401,0.8331
-17.5,0.8148,0.8084,0.8135,0.8098
-17.0,0.7786,0.7827,0.7801,0.7765
-16.5,0.7385,0.741,0.7403,0.7354
-16.0,0.695,0.6992,0.7024,0.7019
-15.5,0.6443,0.6459,0.6452,0.6498
-15.0,0.5941,0.5867,0.5887,0.5919
-14.5,0.5298,0.5339,0.5333,0.528
-14.0,0.4612,0.4699,0.4677,0.4706
-13.5,0.4029,0.41,0.4007,0.3987
-13.0,0.3302,0.3291,0.3342,0.3331
-12.5,0.2716,0.266,0.2642,0.262
-12.0,0.1995,0.2036,0.1979,0.2043
-11.5,0.1487,0.1455,0.1539,0.1416
-11.0,0.1009,0.0997,0.1053,0.0996
-10.5,0.0662,0.0637,0.064,0.0615
-10.0,0.0388,0.0348,0.0354,0.0391
-9.5,0.0202,0.0211,0.023,0.0196
-9.0,0.0096,0.0103,0.0102,0.0114
-8.5,0.003,0.0046,0.0045,0.0056
-8.0,0.0021,0.0018,0.0017,0.0008
-7.5,0.0002,0.0004,0.0006,0.0006
-7.0,0.0,0.0002,0.0003,0.0001
-6.5,0.0,0.0002,0.0,0.0
-6.0,0.0001,0.0,0.0,0.0
-5.5,0.0,0.0,0.0,0.0
-5.0,0.0,0.0,0.0,0.0
-4.5,0.0,0.0,0.0,0.0
-4.0,0.0,0.0,0.0,0.0
-3.5,0.0,0.0,0.0,0.0
-3.0,0.0,0.0,0.0,0.0
-2.5,0.0,0.0,0.0,0.0
-2.0,0.0,0.0,0.0,0.0
-1.5,0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0,0.0
-0.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
