SNR_dB,PER_nd=2,PER_nd=4,PER_nd=8
-20.0,1.0,1.0,1.0
-19.5,1.0,1.0,1.0
-19.0,1.0,1.0,1.0
-18.5,1.0,1.0,1.0
-18.0,1.0,1.0,1.0
-17.5,1.0,1.0,1.0
-17.0,1.0,1.0,1.0
-16.5,1.0,1.0,1.0
-16.0,1.0,1.0,1.0
-15.5,1.0,1.0,1.0
-15.0,1.0,1.0,1.0
-14.5,1.0,1.0,1.0
-14.0,1.0,1.0,1.0
-13.5,1.0,1.0,1.0
-13.0,1.0,1.0,1.0
-12.5,1.0,1.0,1.0
-12.0,1.0,1.0,1.0
-11.5,1.0,1.0,1.0
-11.0,0.998,0.9992500000000001,0.9996250000000001
-10.5,0.989,0.9884999999999999,0.988
-10.0,0.9315,0.9247500000000001,0.9325000000000001
-9.5,0.7495,0.75875,0.7831250000000001
-9.0,0.502,0.51775,0.572375
-8.5,0.278,0.31575000000000003,0.37175
-8.0,0.1295,0.16725,0.27475000000000005
-7.5,0.062,0.14475000000000002,0.221875
-7.0,0.048,0.09625,0.20350000000000001
-6.5,0.033,0.08925,0.204625
-6.0,0.033,0.0935,0.19575
-5.5,0.034,0.10125,0.207375
-5.0,0.034,0.08750000000000001,0.192875
-4.5,0.032,0.08625,0.20337500000000003
-4.0,0.035,0.091,0.21375
-3.5,0.036,0.09025000000000001,0.19475
-3.0,0.03,0.101,0.194375
-2.5,0.026,0.08374999999999999,0.20575000000000002
-2.0,0.03,0.07925,0.21012499999999998
-1.5,0.032,0.087,0.20425000000000001
-1.0,0.035,0.08075,0.19387500000000002
-0.5,0.033,0.09975,0.20612499999999997
0.0,0.033,0.08474999999999999,0.196125
