SNR_dB,devices=2,devices=4,devices=8,devices=16
-20.0,0.9134500000000001,0.9134250000000002,0.9106125,0.9122937500000001
-19.5,0.8987499999999999,0.899375,0.8996625,0.8990249999999999
-19.0,0.88315,0.882625,0.8844249999999999,0.88115
-18.5,0.8602,0.8618250000000001,0.8621749999999999,0.8630312500000001
-18.0,0.8415,0.838675,0.838575,0.8403375
-17.5,0.81045,0.8099000000000001,0.8127125,0.81399375
-17.0,0.7791,0.778575,0.7785,0.7828562499999999
-16.5,0.73905,0.7427499999999999,0.7443,0.74604375
-16.0,0.70365,0.70075,0.6999875,0.7035
-15.5,0.6489,0.65055,0.6537499999999999,0.6567125
-15.0,0.5983499999999999,0.5907499999999999,0.5978249999999999,0.60326875
-14.5,0.53285,0.535875,0.539925,0.54590625
-14.0,0.47265,0.4716,0.474575,0.4846
-13.5,0.4008,0.40245,0.410275,0.42183125
-13.0,0.3333,0.338075,0.34242500000000003,0.35745
-12.5,0.27075,0.271875,0.28315,0.2967875
-12.0,0.20235,0.2102,0.22036250000000002,0.2401875
-11.5,0.15305000000000002,0.155225,0.16747499999999998,0.18788125
-11.0,0.1027,0.1115,0.12397500000000002,0.1463625
-10.5,0.06955,0.07452500000000001,0.0881875,0.1123125
-10.0,0.0411,0.04820000000000001,0.061762500000000005,0.09089999999999998
-9.5,0.02515,0.030699999999999998,0.045,0.074675
-9.0,0.0139,0.02205,0.034962499999999994,0.06410625
-8.5,0.007350000000000001,0.016625,0.030274999999999996,0.059675
-8.0,0.00525,0.01335,0.028499999999999998,0.05659375
-7.5,0.0056,0.01165,0.0263375,0.056799999999999996
-7.0,0.00345,0.012125,0.026337500000000003,0.05654375
-6.5,0.0033499999999999997,0.011224999999999999,0.027174999999999998,0.05595000000000001
-6.0,0.00385,0.011375000000000001,0.026812500000000003,0.055775000000000005
-5.5,0.00405,0.010925,0.0267375,0.05615
-5.0,0.00435,0.01265,0.026624999999999996,0.0559125
-4.5,0.0033,0.011375,0.027475000000000003,0.056406250000000005
-4.0,0.0038,0.01285,0.026375,0.05592499999999999
-3.5,0.0034000000000000002,0.011825,0.026637499999999998,0.055731249999999996
-3.0,0.0034000000000000002,0.011949999999999999,0.025949999999999997,0.05628124999999999
-2.5,0.00325,0.0109,0.026675,0.056356250000000004
-2.0,0.00355,0.0117,0.027,0.05516875
-1.5,0.0041,0.012625,0.026837499999999997,0.05533125
-1.0,0.0034000000000000002,0.011525,0.02645,0.05599375
-0.5,0.0043,0.011725,0.027325000000000002,0.05580625
0.0,0.0032,0.011725,0.02745,0.056512499999999986
