frequency_mhz,amplitude_spectrum,power_spectrum
-7.68,4.577566798522237e-16,2.0954117794933126e-31
-7.672999088422972,1.2412670766236366e-16,1.5407439555097887e-32
-7.665998176845943,3.510833468576701e-16,1.232595164407831e-31
-7.6589972652689156,4.335559509131367e-16,1.8797076257219422e-31
-7.651996353691887,4.996003610813204e-16,2.4960052079258577e-31
-7.644995442114858,4.2276033262255756e-16,1.7872629883913549e-31
-7.6379945305378305,0.0,0.0
-7.630993618960802,3.1401849173675503e-16,9.860761315262648e-32
-7.623992707383774,1.6653345369377348e-16,2.7733391199176196e-32
-7.6169917958067455,3.3766115072321297e-16,1.1401505270772436e-31
-7.609990884229718,7.468261590855957e-16,5.577493118945435e-31
-7.602989972652689,2.9893669801409083e-16,8.936314941956774e-32
-7.595989061075661,2.7755575615628914e-16,7.703719777548943e-32
-7.588988149498633,4.577566798522237e-16,2.0954117794933126e-31
-7.581987237921604,4.742874840267547e-16,2.2494861750442915e-31
-7.574986326344576,4.335559509131367e-16,1.8797076257219422e-31
-7.567985414767548,4.996003610813204e-16,2.4960052079258577e-31
-7.56098450319052,3.3766115072321297e-16,1.1401505270772436e-31
-7.553983591613491,4.775249788392736e-16,2.2803010541544873e-31
-7.546982680036463,3.554447978966673e-16,1.2634100435180267e-31
-7.539981768459435,3.236828524569469e-16,1.0477058897466563e-31
-7.532980856882406,5.026748538604307e-16,2.5268200870360534e-31
-7.525979945305378,2.3551386880256624e-16,5.546678239835239e-32
-7.51897903372835,2.0014830212433605e-16,4.0059342843254506e-32
-7.511978122151322,4.002966042486721e-16,1.6023737137301802e-31
-7.504977210574293,2.830524433501838e-16,8.011868568650901e-32
-7.497976298997266,1.5700924586837752e-16,2.465190328815662e-32
-7.490975387420237,4.002966042486721e-16,1.6023737137301802e-31
-7.483974475843209,5.23691153334427e-16,2.742524240807424e-31
-7.4769735642661805,2.9893669801409083e-16,8.936314941956774e-32
-7.469972652689152,2.7755575615628914e-16,7.703719777548943e-32
-7.462971741112124,4.335559509131367e-16,1.8797076257219422e-31
-7.4559708295350955,4.2276033262255756e-16,1.7872629883913549e-31
-7.448969917958068,3.236828524569469e-16,1.0477058897466563e-31
