frequency_mhz,amplitude_spectrum,power_spectrum
-5.0,2.482534153247273e-16,6.162975822039155e-32
-4.992997198879552,2.482534153247273e-16,6.162975822039155e-32
-4.985994397759104,1.5700924586837752e-16,2.465190328815662e-32
-4.9789915966386555,2.0014830212433605e-16,4.0059342843254506e-32
-4.971988795518207,0.0,0.0
-4.964985994397759,1.1102230246251565e-16,1.232595164407831e-32
-4.957983193277311,1.5700924586837752e-16,2.465190328815662e-32
-4.950980392156863,2.0014830212433605e-16,4.0059342843254506e-32
-4.943977591036415,2.220446049250313e-16,4.930380657631324e-32
-4.936974789915967,2.0014830212433605e-16,4.0059342843254506e-32
-4.9299719887955185,1.2412670766236366e-16,1.5407439555097887e-32
-4.92296918767507,5.551115123125783e-17,3.0814879110195774e-33
-4.915966386554622,0.0,0.0
-4.908963585434174,5.551115123125783e-17,3.0814879110195774e-33
-4.901960784313726,2.7755575615628914e-16,7.703719777548943e-32
-4.894957983193278,1.1102230246251565e-16,1.232595164407831e-32
-4.8879551820728295,1.5700924586837752e-16,2.465190328815662e-32
-4.880952380952381,1.2412670766236366e-16,1.5407439555097887e-32
-4.873949579831933,1.2412670766236366e-16,1.5407439555097887e-32
-4.866946778711484,2.220446049250313e-16,4.930380657631324e-32
-4.859943977591036,7.850462293418876e-17,6.162975822039155e-33
-4.852941176470588,2.0014830212433605e-16,4.0059342843254506e-32
-4.84593837535014,2.2887833992611187e-16,5.238529448733282e-32
-4.838935574229692,5.551115123125783e-17,3.0814879110195774e-33
-4.831932773109243,7.850462293418876e-17,6.162975822039155e-33
-4.824929971988795,1.1102230246251565e-16,1.232595164407831e-32
-4.817927170868347,1.5700924586837752e-16,2.465190328815662e-32
-4.810924369747899,1.2412670766236366e-16,1.5407439555097887e-32
-4.803921568627451,2.0014830212433605e-16,4.0059342843254506e-32
-4.796918767507003,1.1102230246251565e-16,1.232595164407831e-32
-4.7899159663865545,7.850462293418876e-17,6.162975822039155e-33
-4.782913165266106,5.551115123125783e-17,3.0814879110195774e-33
-4.775910364145658,2.0014830212433605e-16,4.0059342843254506e-32
-4.76890756302521,1.1102230246251565e-16,1.232595164407831e-32
-4.761904761904762,2.0014830212433605e-16,4.0059342843254506e-32
-4.754901960784314,1.2412670766236366e-16,1.5407439555097887e-32
-4.7478991596638656,1.1102230246251565e-16,1.232595164407831e-32
-4.740896358543417,2.0014830212433605e-16,4.0059342843254506e-32
-4.733893557422969,1.2412670766236366e-16,1.5407439555097887e-32
-4.726890756302521,2.3551386880256624e-16,5.546678239835239e-32
-4.719887955182073,2.482534153247273e-16,6.162975822039155e-32
-4.712885154061625,2.7755575615628914e-16,7.703719777548943e-32
-4.705882352941177,1.1102230246251565e-16,1.232595164407831e-32
-4.6988795518207285,2.0014830212433605e-16,4.0059342843254506e-32
-4.69187675070028,2.0014830212433605e-16,4.0059342843254506e-32
-4.684873949579832,1.2412670766236366e-16,1.5407439555097887e-32
-4.677871148459384,2.830524433501838e-16,8.011868568650901e-32
-4.670868347338936,2.0014830212433605e-16,4.0059342843254506e-32
-4.663865546218488,2.482534153247273e-16,6.162975822039155e-32
-4.6568627450980395,1.2412670766236366e-16,1.5407439555097887e-32
-4.649859943977591,7.850462293418876e-17,6.162975822039155e-33
-4.642857142857143,1.7554167342883506e-16,3.0814879110195774e-32
-4.635854341736695,1.5700924586837752e-16,2.465190328815662e-32
-4.628851540616247,1.2412670766236366e-16,1.5407439555097887e-32
-4.621848739495798,2.220446049250313e-16,4.930380657631324e-32
-4.61484593837535,1.1102230246251565e-16,1.232595164407831e-32
-4.607843137254902,0.0,0.0
-4.600840336134453,7.850462293418876e-17,6.162975822039155e-33
-4.593837535014005,2.0014830212433605e-16,4.0059342843254506e-32
-4.586834733893557,2.7755575615628914e-16,7.703719777548943e-32
-4.579831932773109,2.220446049250313e-16,4.930380657631324e-32
-4.572829131652661,7.850462293418876e-17,6.162975822039155e-33
-4.565826330532213,5.551115123125783e-17,3.0814879110195774e-33
-4.5588235294117645,1.1102230246251565e-16,1.232595164407831e-32
-4.551820728291316,2.7755575615628914e-16,7.703719777548943e-32
-4.544817927170868,4.002966042486721e-16,1.6023737137301802e-31
