time_seconds,power_dbm
0.0,-95.16471441250259
0.001,-94.46763669171494
0.002,-95.86746652402188
0.003,-97.38936981764826
0.004,-98.98189967114601
0.005,-99.07891838558139
0.006,-99.45769633236499
0.007,-99.77597995140951
0.008,-100.115355928575
0.009,-99.49652881400004
0.01,-99.76954185845024
0.011,-100.06860590249909
0.012,-100.48503749440736
0.013,-99.36628690412837
0.014,-100.08312333662525
0.015,-99.67372306485328
0.016,-99.99371256840135
0.017,-100.58106709238186
0.018,-100.21241066573748
0.019,-100.49643952858004
0.02,-99.76010639267281
0.021,-100.3291423154379
0.022,-100.19431823800217
0.023,-99.86303800971301
0.024,-100.26511781982994
0.025,-100.08227088454724
0.026,-100.44662413080798
0.027,-100.10990680863834
0.028,-99.99366597989392
0.029,-99.9791553217078
0.03,-99.9989158110773
0.031,-99.95772016174473
0.032,-99.42070628266153
0.033,-100.11341382319847
0.034,-100.01750059827506
0.035,-100.08340527935606
0.036,-100.11247204255027
0.037,-100.38644569212987
0.038,-99.63342577926859
0.039,-100.43696667202099
0.04,-99.79116417252843
0.041,-99.84968641639476
0.042,-100.47254659196771
0.043,-100.46988272043131
0.044,-100.13834951053576
0.045,-99.96344054214657
0.046,-100.12780974865798
0.047,-100.3151195356382
0.048,-99.50781159299056
0.049,-99.99423489284004
0.05,-100.20871944933114
0.051,-100.2498393565342
0.052,-100.22668779886818
0.053,-99.79200950954596
0.054,-100.29570028241173
0.055,-99.91920535799864
0.056,-99.8453765215375
0.057,-99.98103956630538
0.058,-100.02468844705841
0.059,-100.4528106229973
0.06,-99.73078123054478
0.061,-99.70681551209663
0.062,-100.1067372529074
0.063,-99.8305570971494
0.064,-99.97276958522707
0.065,-99.95145889460471
0.066,-100.00016931853514
0.067,-100.14199309403246
0.068,-100.33180377712361
0.069,-100.25452848848934
0.07,-99.81029423919911
0.071,-100.04754666807527
0.072,-99.9784620547399
0.073,-99.31188772249381
0.074,-100.20039471348903
0.075,-100.49538613461797
0.076,-100.08578667895179
0.077,-99.42119600638377
0.078,-99.34662332122787
0.079,-97.65778387651817
0.08,-97.36933556567588
0.081,-96.66956860573472
0.082,-97.49197483424838
0.083,-97.7317100261986
0.084,-98.79984141812571
0.085,-99.97900339395628
0.086,-99.7011624957739
0.087,-100.16727997071494
0.088,-99.7352840495844
0.089,-99.86296187928073
0.09,-99.80419386344757
0.091,-100.33987624576804
0.092,-100.17961828864782
0.093,-99.91153942177978
0.094,-100.13474282779926
0.095,-99.63236027013798
0.096,-100.09286085371076
0.097,-100.42969619138594
0.098,-99.74821595121384
0.099,-100.42591334528285
0.1,-99.78400434440287
0.101,-100.3354299258872
0.102,-99.52286207455685
0.103,-100.13783850917585
0.104,-99.9653500893788
0.105,-99.70332954636544
0.106,-100.30070393192413
0.107,-100.10585526641013
0.108,-99.89401127825813
0.109,-100.44897193291108
0.11,-100.046516422134
0.111,-99.82299336577572
0.112,-100.26227821715028
0.113,-100.24896253486924
0.114,-99.69727714511403
0.115,-99.83895140412267
0.116,-100.04203995280857
0.117,-99.66682442421758
0.118,-99.17903128211847
0.119,-98.089610967966
0.12,-96.75997987500301
0.121,-95.97626445870726
0.122,-95.6988094165069
0.123,-97.3556244230169
0.124,-97.96932136736527
0.125,-98.64470448970862
0.126,-99.17637014993275
0.127,-100.33535033601737
0.128,-99.98692096012985
0.129,-99.78104478623857
0.13,-100.01674515889997
0.131,-99.81468931900602
0.132,-100.46748484277819
0.133,-100.31305879195844
0.134,-99.86456056885825
0.135,-100.26184281379844
0.136,-100.13098287916863
0.137,-100.20575524449119
0.138,-100.4686524685873
0.139,-99.7676958272977
0.14,-100.57254821091539
0.141,-99.96124565049905
0.142,-99.58138631118763
0.143,-100.82426138077349
0.144,-99.75389359147229
0.145,-99.04015371105814
0.146,-100.24031368557424
0.147,-99.80349091328628
0.148,-99.78367077649655
0.149,-99.81028774640818
0.15,-99.94077960968352
0.151,-100.17472765525658
0.152,-100.15096602337583
0.153,-100.10643341321473
0.154,-99.98549617511574
0.155,-99.52470227674661
0.156,-99.7976090598592
0.157,-99.15968020742318
0.158,-99.03936228194944
0.159,-98.03645700185514
0.16,-96.25957791207166
0.161,-95.56497768507985
0.162,-95.92328717238246
0.163,-96.94399736065202
0.164,-98.68809665835798
0.165,-99.06485436709016
0.166,-99.35061510857454
0.167,-99.71455119077109
0.168,-99.80149547901556
0.169,-100.39570471088982
0.17,-100.57784029811467
0.171,-100.46567136781624
0.172,-99.87708462788699
0.173,-100.09810312108563
0.174,-100.29894106095041
0.175,-100.21770507839034
0.176,-99.94160570385662
0.177,-99.69682480986113
0.178,-99.842792815415
0.179,-99.65592029168945
0.18,-99.79182292702023
0.181,-100.0874801710395
0.182,-100.26863226455957
0.183,-100.25824277076056
0.184,-99.45842926944142
0.185,-99.94724015823856
0.186,-100.35399003004414
0.187,-100.2148936678533
0.188,-99.61796126480013
0.189,-100.09329477779322
0.19,-99.77838370470428
0.191,-99.78146876052926
0.192,-99.69698520733647
0.193,-100.19464463295724
0.194,-99.84785790502016
0.195,-99.3454106894044
0.196,-99.70552409972262
0.197,-98.90948264136603
0.198,-98.34573150535066
0.199,-96.97987226221338
0.2,-96.85526684237092
0.201,-96.90700164630567
0.202,-97.5218082055739
0.203,-98.89828239054795
0.204,-99.19341896469416
0.205,-99.42298795561396
0.206,-100.19364689314868
0.207,-100.19440655349742
0.208,-99.70250755281232
0.209,-100.14586967689459
0.21,-99.27464546036667
0.211,-100.25536449013003
0.212,-99.74481829652373
0.213,-100.05163246399327
0.214,-100.09427304856713
0.215,-99.81025513637769
0.216,-100.08962490204058
0.217,-99.87202293427978
0.218,-100.29852260000285
0.219,-100.34362716456845
0.22,-100.02645988760204
0.221,-99.7636971058917
0.222,-99.95593399961002
0.223,-99.8210127340863
0.224,-100.15334304956207
0.225,-100.0431536893038
0.226,-99.52062353383913
0.227,-99.94642974339247
0.228,-100.45837491258634
0.229,-100.14186595192267
