time_seconds,power_dbm
0.0,-100.07314571663412
0.001,-99.40139474068545
0.002,-100.06177367005678
0.003,-99.90791285541155
0.004,-99.94615081299452
0.005,-99.61749843954692
0.006,-100.5048266765191
0.007,-100.30582316900482
0.008,-99.9509249227534
0.009,-99.44344061189071
0.01,-100.10680468404874
0.011,-100.13841042541624
0.012,-100.0642326502655
0.013,-100.23651721539781
0.014,-99.93572897021707
0.015,-100.37365051241572
0.016,-100.07077517758164
0.017,-99.76536096804487
0.018,-99.78836969534485
0.019,-99.69275440056906
0.02,-99.8083056870469
0.021,-100.25434463437145
0.022,-100.28561873835503
0.023,-99.77098159765742
0.024,-100.00018246971246
0.025,-99.73452385026914
0.026,-99.79449511526218
0.027,-100.36981485440275
0.028,-99.68948343625858
0.029,-100.02178236733972
0.03,-99.76212912974577
0.031,-100.09774596649223
0.032,-100.44366283786701
0.033,-100.50210341940534
0.034,-99.82012115268016
0.035,-99.94574724876995
0.036,-100.41656816251565
0.037,-99.37092611189999
0.038,-99.90786906022893
0.039,-100.11406355417789
0.04,-99.70404360133954
0.041,-100.08335900705976
0.042,-100.63340853407911
0.043,-99.82775208285425
0.044,-100.27777497794382
0.045,-100.19344520008238
0.046,-99.32703150921685
0.047,-99.9952895394923
0.048,-100.36707471336707
0.049,-100.22488176830359
0.05,-99.63537829384141
0.051,-99.60214684196283
0.052,-100.33666464907277
0.053,-100.46626444294738
0.054,-99.79739358235587
0.055,-99.79951497114318
0.056,-100.24396025107879
0.057,-100.25222071640688
0.058,-100.3268458398173
0.059,-100.2587372442691
0.06,-99.35053555803782
0.061,-99.49539007226497
0.062,-99.82146109170496
0.063,-100.08487186760965
0.064,-99.9883153844143
0.065,-99.91590536474057
0.066,-99.67171567361807
0.067,-100.190082082012
0.068,-100.03036449509969
0.069,-99.72143585864718
0.07,-99.46066723738969
0.071,-100.22448085913439
0.072,-100.29826327791909
0.073,-99.69511406480106
0.074,-99.73317805596776
0.075,-99.97700915768425
0.076,-99.9639750262739
0.077,-99.896490544731
0.078,-100.22738789297092
0.079,-99.41358421315822
0.08,-99.70355541452426
0.081,-97.98082175977315
0.082,-96.57260342014251
0.083,-94.92598388198483
0.084,-94.02560239449116
0.085,-94.98467707452521
0.086,-96.87043945839952
0.087,-97.95733486711293
0.088,-99.65997014386154
0.089,-99.67200065765671
0.09,-99.90711133351074
0.091,-99.89977579546014
0.092,-99.9987534044078
0.093,-99.25336994007402
0.094,-99.79796993595782
0.095,-100.0515677040211
0.096,-99.9822989657086
0.097,-100.01884483933611
0.098,-100.11718171519134
0.099,-100.05025384870542
0.1,-99.99540203413154
0.101,-100.25655466150486
0.102,-100.15225813632227
0.103,-100.13488282652098
0.104,-100.05518101621782
0.105,-100.40197490809538
0.106,-100.22570055908649
0.107,-100.30757986822032
0.108,-100.0472733865988
0.109,-99.77673187348299
0.11,-100.16814825697301
0.111,-100.3459272009586
0.112,-99.79090051106729
0.113,-100.18397495611532
0.114,-99.87409623954085
0.115,-100.0390087123831
0.116,-99.69511823094973
0.117,-99.96983707193776
0.118,-99.41097278329376
0.119,-99.7287236982861
0.12,-100.03663209942333
0.121,-99.69257353844554
0.122,-100.0232238636392
0.123,-99.81377189548049
0.124,-100.10368892416605
0.125,-99.56493860714755
0.126,-99.7182312881246
0.127,-99.05466277180456
0.128,-100.60973442580058
0.129,-99.37777886405394
0.13,-99.38407752314399
0.131,-100.27891974968914
0.132,-100.36921684908877
0.133,-99.90897151656307
0.134,-99.97789693670896
0.135,-99.6536800366194
0.136,-100.09121619993213
0.137,-100.40212739577365
0.138,-99.69721286415775
0.139,-99.9200924182522
0.14,-100.1433779026355
0.141,-100.03653794018241
0.142,-100.00500142620197
0.143,-99.86237128625488
0.144,-99.92417931911393
0.145,-100.22716291483185
0.146,-100.2059666589175
0.147,-100.05473040791422
0.148,-100.31461187668954
0.149,-99.9029625021897
0.15,-100.18893118736406
0.151,-100.08230696545505
0.152,-100.22345836061474
0.153,-100.04339876402909
0.154,-100.02366155326898
0.155,-100.06213832045385
0.156,-99.67772003317944
0.157,-99.71233037448283
0.158,-99.96676521437985
0.159,-99.84712467983896
0.16,-100.38789678475605
0.161,-99.86389900701455
0.162,-99.87798363186364
0.163,-100.17906621580967
0.164,-99.86471012435884
0.165,-100.40808156850781
0.166,-99.68119686069865
0.167,-99.63298355910884
0.168,-100.13209214941746
0.169,-99.7663112087437
0.17,-99.5679441120169
0.171,-100.0452540610995
0.172,-99.67949852407122
0.173,-99.54756714630456
