time_ms,power_mw,power_dbm
0.0,8.092886068485769e-14,-130.91896573554837
0.05,2.4723699014669065e-14,-136.06886552131823
0.1,3.7551808028156204e-14,-134.25369147934168
0.15,7.32667288674573e-14,-131.350931979318
0.2,1.2897572670740888e-13,-128.89492016436793
0.25,8.106169328005421e-13,-120.9118432861674
0.3,2.404393815877034e-14,-136.18994397711378
0.35,1.9682354686440646e-13,-127.05922946242347
0.4,3.2098680779025035e-14,-134.93512816260645
0.45,2.8922592260167985e-14,-135.387627848964
0.5,3.912925331743442e-14,-134.07498439429042
0.55,1.7599387702101785e-13,-127.54502441403133
0.6,1.9443194969296645e-13,-127.1123236885804
0.65,4.816639111323592e-14,-133.1725589216018
0.7,1.8808023713555925e-14,-137.25656836315062
0.75,7.790811402150035e-14,-131.08417308806847
0.8,2.481616139084215e-14,-136.05265395105735
0.85,2.6443719904246385e-13,-125.77677451597461
0.9,5.183591112648445e-14,-132.85369263411397
0.95,6.709966517377918e-14,-131.73279646947893
1.0,1.3136094500591223e-15,-148.8153373591452
1.05,4.202822506872577e-13,-123.76458950683
1.1,3.3152146908347e-14,-134.79488341761257
1.15,1.6181565877010377e-14,-137.90979454365288
1.2,2.4344902461120384e-13,-126.1359196113378
1.25,7.689709105404991e-14,-131.14090088847067
1.3,5.814411045278351e-14,-132.35494269368812
1.35,1.0113651841600285e-13,-129.95092000859134
1.4,1.4589168087654652e-13,-128.35969472002492
1.45,2.5450895533430374e-14,-135.94296931661816
1.5,7.882194341560552e-14,-131.03352861474116
1.55,1.0342944927092116e-13,-129.85355787790462
1.6,2.6523582124628895e-15,-145.76367822955677
1.65,7.248712319298347e-14,-131.39739135814114
1.7,1.7988929176929903e-13,-127.44994688038089
1.75,3.544716276862477e-14,-134.50418520515947
1.8,8.503107189513974e-14,-130.70422346206172
1.85,6.738250511861204e-14,-131.71452847036025
1.9,9.830584456370475e-14,-130.07420661350864
1.95,3.97321313721129e-14,-134.0085813722705
2.0,3.892530124709889e-14,-134.09768017695063
2.05,2.03918881464674e-14,-136.90542559723235
2.1,2.4368960518968346e-14,-136.13162995661574
2.15,2.1874429515783375e-13,-126.60063264540072
2.2,1.5736928494745087e-13,-128.03080028517783
2.25,5.578729612878213e-13,-122.53464687250796
2.3,2.8718801400244425e-14,-135.4183368964291
2.35,4.026692380562008e-14,-133.9505154708177
2.4,3.5883381135615386e-14,-134.4510664201152
2.45,2.2675974242196235e-13,-126.44434044999043
2.5,5.301107551296699e-14,-132.75633384518932
2.55,2.4167674445157273e-13,-126.1676513793438
2.6,9.823747026788517e-14,-130.07722829660193
2.65,5.694792273083315e-14,-132.44522112901652
2.7,2.576735466797591e-13,-125.8893016476577
2.75,9.389323808560474e-14,-130.27365683216863
2.8,3.758258728639465e-14,-134.2501332520606
2.85,1.0339324623866136e-13,-129.85507828912066
2.9,2.768974129687363e-13,-125.57681101815461
2.95,6.591049856449933e-14,-131.81045403228708
3.0,4.720150347413725e-14,-133.26044167888742
3.05,6.727422241726497e-14,-131.72151313286878
3.1,1.8341075777017553e-14,-137.3657519482082
3.15,5.892807890881148e-14,-132.29677716938144
3.2,6.779995576633556e-14,-131.68770589472797
3.25,1.3281292689691552e-13,-128.76759652326615
3.3,1.9174861274669794e-14,-137.17267769379677
3.35,2.9108982134743767e-13,-125.35972980442081
3.4,5.552747740962846e-14,-132.55492055898281
3.45,2.2125040598946613e-13,-126.55115923708904
3.5,6.760719774323788e-14,-131.700070648015
3.55,5.378020419604268e-14,-132.69377553153137
3.6,3.341818283275096e-13,-124.7601716925906
3.65,1.2400412560384865e-13,-129.06563865666956
3.7,8.822452220931545e-14,-130.5441068493648
3.75,1.8360148498387795e-13,-127.36123810511161
3.8,5.260648095350637e-14,-132.78960748831798
3.85,3.271680908725238e-14,-134.85229060238353
3.9,3.5078930077784685e-13,-124.54953661269516
3.95,5.6463657370447684e-14,-132.48230994337172
4.0,3.2524066613002406e-14,-134.87795158121924
4.05,1.7309617220249668e-13,-127.6171253587801
4.1,7.613942685879191e-15,-141.183903966706
4.15,1.7889200451420077e-13,-127.47409069566557
4.2,5.364971804140875e-13,-122.70432556146903
4.25,3.43539321543265e-13,-124.64023546371833
4.3,3.2822528217172327e-13,-124.83827969642508
4.35,2.1473742250792492e-13,-126.68092264029292
4.4,6.591859438742832e-14,-131.80992061873621
4.45,1.4731635065668243e-14,-138.31749048093639
4.5,4.260295681079525e-15,-143.70560258126162
4.55,6.587981645155714e-15,-141.81247619492976
4.6,8.613883276903521e-14,-130.6480101747476
4.65,2.475798603599325e-13,-126.06284686349363
4.7,9.220236828766828e-14,-130.35257923620378
4.75,3.898150920087863e-15,-144.0914135082831
4.8,6.974320871931884e-14,-131.5649807564319
4.85,1.3362898857338466e-13,-128.74099318718174
4.9,1.1951859303765573e-13,-129.22564527974953
4.95,4.416420141490465e-13,-123.54929618147621
5.0,1.6501932488568568e-13,-127.82465193969264
5.05,1.95286039317249e-14,-137.09328802611768
5.1,5.966637232270043e-13,-122.24270366180143
5.15,1.0678771818810775e-12,-119.7147869327986
5.2,6.576553809564732e-14,-131.8200162212391
5.25,4.824717075498114e-14,-133.16528148880303
5.3,5.802513715198947e-14,-132.36383824344136
5.35,7.024359829468549e-14,-131.53393249386983
5.4,8.779200363083567e-14,-130.5654503918677
5.45,9.970483658383233e-14,-130.0128377397799
5.5,1.3962650135142216e-13,-128.55032144045484
5.55,3.23117133676362e-13,-124.90640012382202
5.6,8.20594106522012e-15,-140.85871606445588
5.65,7.128894643145727e-14,-131.46977803611958
5.7,3.892738429484523e-14,-134.09744777491193
5.75,3.386370793009068e-13,-124.7026549024917
5.8,3.028734291952818e-14,-135.18738825247635
5.85,3.267478705881385e-14,-134.85787234030002
5.9,1.2612676780445854e-13,-128.99192733600694
5.95,1.581329532936428e-13,-128.00977618098736
6.0,1.1198400569088514e-14,-139.50844001760365
6.05,2.879423679697845e-14,-135.4069442813437
6.1,1.0938624517588293e-13,-129.6103728513035
6.15,6.163865774107137e-14,-132.1014682715662
6.2,9.361733288980388e-14,-130.2864373586122
6.25,2.7080854136184475e-13,-125.6733764202597
